"KNOT","A","B1","B2","B3","SEX","AGE","PERCENTILE","CHART"
18,46.3,0.183,-0.00294,-1.69e-06,"M","0-36 mos",5,"hc x age"
0,32.1,2.27,-0.202,0.00859,"F","0-36 mos",5,"hc x age"
6,40.3,0.776,-0.0473,0.00127,"F","0-36 mos",5,"hc x age"
18,45,0.19,-0.0016,-4.82e-05,"F","0-36 mos",5,"hc x age"
0,33,2.59,-0.252,0.0113,"M","0-36 mos",10,"hc x age"
6,42,0.794,-0.0484,0.00126,"M","0-36 mos",10,"hc x age"
18,46.7,0.179,-0.0029,-6.06e-06,"M","0-36 mos",10,"hc x age"
0,32.9,2.08,-0.161,0.00612,"F","0-36 mos",10,"hc x age"
6,40.9,0.805,-0.0508,0.00136,"F","0-36 mos",10,"hc x age"
18,45.6,0.175,-0.0017,-4.16e-05,"F","0-36 mos",10,"hc x age"
0,33.9,2.53,-0.233,0.01,"M","0-36 mos",25,"hc x age"
6,42.8,0.811,-0.0532,0.00145,"M","0-36 mos",25,"hc x age"
18,47.4,0.161,-0.00101,-5.31e-05,"M","0-36 mos",25,"hc x age"
0,33.5,2.23,-0.199,0.0085,"F","0-36 mos",25,"hc x age"
6,41.6,0.767,-0.0456,0.00118,"F","0-36 mos",25,"hc x age"
18,46.3,0.181,-0.00325,6.7e-06,"F","0-36 mos",25,"hc x age"
0,34.8,2.53,-0.235,0.0102,"M","0-36 mos",50,"hc x age"
6,43.8,0.809,-0.0525,0.0014,"M","0-36 mos",50,"hc x age"
18,48.4,0.155,-0.00198,-5.41e-06,"M","0-36 mos",50,"hc x age"
0,34.3,2.32,-0.217,0.00968,"F","0-36 mos",50,"hc x age"
6,42.4,0.752,-0.0432,0.00108,"F","0-36 mos",50,"hc x age"
18,47.1,0.183,-0.00425,4.16e-05,"F","0-36 mos",50,"hc x age"
0,35.6,2.76,-0.289,0.0136,"M","0-36 mos",75,"hc x age"
6,44.7,0.755,-0.0448,0.00115,"M","0-36 mos",75,"hc x age"
18,49.3,0.178,-0.00334,1.48e-05,"M","0-36 mos",75,"hc x age"
0,34.8,2.57,-0.268,0.0127,"F","0-36 mos",75,"hc x age"
6,43.3,0.721,-0.04,0.000967,"F","0-36 mos",75,"hc x age"
18,47.9,0.178,-0.00519,0.000101,"F","0-36 mos",75,"hc x age"
0,36.6,2.65,-0.266,0.0122,"M","0-36 mos",90,"hc x age"
6,45.6,0.768,-0.0474,0.00124,"M","0-36 mos",90,"hc x age"
18,50.1,0.166,-0.00272,1.3e-05,"M","0-36 mos",90,"hc x age"
0,35.5,2.61,-0.27,0.0126,"F","0-36 mos",90,"hc x age"
6,44.1,0.73,-0.0427,0.00109,"F","0-36 mos",90,"hc x age"
18,48.6,0.175,-0.00357,3.63e-05,"F","0-36 mos",90,"hc x age"
0,37.2,2.66,-0.266,0.012,"M","0-36 mos",95,"hc x age"
6,46.2,0.767,-0.0494,0.00132,"M","0-36 mos",95,"hc x age"
18,50.6,0.154,-0.00166,-2.91e-06,"M","0-36 mos",95,"hc x age"
0,35.9,2.68,-0.289,0.0139,"F","0-36 mos",95,"hc x age"
6,44.6,0.71,-0.0396,0.000991,"F","0-36 mos",95,"hc x age"
18,49.1,0.188,-0.00389,3.05e-05,"F","0-36 mos",95,"hc x age"
26,82.5,0.646,-0.00272,1e-05,"M","2-18 years",5,"ht x age"
138,135,0.415,0.000665,2.58e-05,"M","2-18 years",5,"ht x age"
168,149,0.524,0.00298,-0.000141,"M","2-18 years",5,"ht x age"
