cycle,converged,status,neg2ll,nspp,gamlam.0,ka.mean,ka.median,ka.sd,ke.mean,ke.median,ke.sd,v.mean,v.median,v.sd,tlag1.mean,tlag1.median,tlag1.sd
21,false,Continue,452.4091715475,19,2.54346,0.6441325790003725,0.664404945373535,0.04464857678468273,0.05120278159819152,0.049824559259414675,0.0003078452868946929,76.61687760604055,75.47713279724121,645.5752181483806,1.49207370155736,1.019418716430664,1.3861407764523932
22,false,Continue,451.89313492373844,18,2.54346,0.6545207553439668,0.7331742000579834,0.04777344037175987,0.05011696640253067,0.047862801885604864,0.00029325592080250144,78.31690239906311,75.47713279724121,625.408535125529,1.4016963164011638,0.9389569759368896,1.3033560846140844
23,false,Continue,451.2613111254333,19,2.54346,0.6546588947898462,0.7444049453735351,0.04657420976565403,0.05068172896661257,0.049824559259414675,0.0002830241035243411,77.09056181656688,75.47713279724121,638.8685658647122,1.4815473857678865,1.019418716430664,1.3520950855478093
24,false,Continue,451.20685181897954,19,2.51206,0.6588694211056357,0.7619434547424317,0.04803208547362614,0.05068172896661257,0.049824559259414675,0.0002830241035243411,77.09056181656688,75.47713279724121,638.8685658647122,1.4815473857678865,1.019418716430664,1.3520950855478093
25,false,Continue,451.2008616305458,19,2.51206,0.6609746842635305,0.7619434547424317,0.048674231663354835,0.05068172896661257,0.049824559259414675,0.0002830241035243411,77.09056181656688,75.47713279724121,638.8685658647122,1.4815473857678865,1.019418716430664,1.3520950855478095
26,false,Continue,451.2008616305458,19,2.51206,0.6609746842635305,0.7619434547424317,0.048674231663354835,0.05068172896661257,0.049824559259414675,0.0002830241035243411,77.09056181656688,75.47713279724121,638.8685658647122,1.4815473857678865,1.019418716430664,1.3520950855478095
27,false,Continue,449.4121545722079,18,2.51206,0.6678540886773005,0.7649072170257569,0.0505559893285374,0.050116966402530674,0.047862801885604864,0.0002932559208025014,78.81690239906311,75.47713279724121,626.9166199556449,1.3850296497344972,0.9389569759368896,1.3154107338549146
28,false,Continue,448.95804460726964,18,2.51206,0.6667429775661895,0.7572347450256348,0.050182592772954726,0.049979466402530676,0.047862801885604864,0.00028454078676767836,78.81690239906311,75.47713279724121,626.9166199556449,1.3794740941789414,0.9389569759368896,1.3120001424925662
29,false,Continue,448.63432267594453,18,2.51206,0.6678540886773006,0.7472347450256348,0.04990969384837024,0.049979466402530676,0.047862801885604864,0.00028454078676767836,78.94190239906311,75.47713279724121,631.2904349592084,1.3794740941789416,0.9389569759368896,1.312000142492566
30,false,Continue,448.53196303642596,18,2.48105,0.6689651997884116,0.7472347450256348,0.049453849213559956,0.04997946640253067,0.047862801885604864,0.00028454078676767836,78.94190239906311,75.47713279724121,631.2904349592083,1.3794740941789416,0.9389569759368896,1.312000142492566
31,false,Continue,448.49084083267564,18,2.48105,0.6711874220106339,0.7472347450256348,0.04933367979711987,0.04997946640253067,0.047862801885604864,0.00028454078676767836,78.81690239906311,74.35213279724121,632.4888298538082,1.3794740941789416,0.9389569759368896,1.312000142492566
32,false,Continue,448.46934685240376,18,2.48105,0.671187422010634,0.7472347450256348,0.04886494191439353,0.04997946640253067,0.047862801885604864,0.00028454078676767836,78.81690239906311,74.35213279724121,632.4888298538082,1.3794740941789416,0.9389569759368896,1.312000142492566
33,false,Continue,448.45617520532136,18,2.48105,0.672298533121745,0.7472347450256348,0.04882414654452844,0.04997946640253067,0.047862801885604864,0.00028454078676767836,78.81690239906311,74.35213279724121,632.4888298538082,1.3794740941789416,0.9389569759368896,1.312000142492566
34,false,Continue,448.4508709981334,18,2.48105,0.6734096442328562,0.7472347450256348,0.048827795619107835,0.04997946640253067,0.047862801885604864,0.00028454078676767836,78.81690239906311,74.35213279724121,632.4888298538082,1.3794740941789416,0.9389569759368896,1.312000142492566
35,false,Continue,448.4508709981334,18,2.48105,0.6734096442328562,0.7472347450256348,0.048827795619107835,0.04997946640253067,0.047862801885604864,0.00028454078676767836,78.81690239906311,74.35213279724121,632.4888298538082,1.3794740941789416,0.9389569759368896,1.312000142492566
36,false,Continue,446.5296262448538,19,2.45042,0.667290473737215,0.7325260353088379,0.04733830569444849,0.05048633422977047,0.04858705925941467,0.00027819281085295246,77.4458249744616,74.35213279724121,641.0119986371852,1.4710210699784128,1.0649908065795899,1.3816868400484386
37,false,Continue,446.1736162882246,19,2.45042,0.6693957368951096,0.7325260353088379,0.04807207572584768,0.0504212026508231,0.04858705925941467,0.0002743883286722567,77.56424602709319,74.35213279724121,640.0024193708127,1.4657579120836761,1.0649908065795899,1.3883689570755873
38,false,Continue,445.9648019572078,19,2.45042,0.6704483684740569,0.7325260353088379,0.04872684508010465,0.0504212026508231,0.04858705925941467,0.0002743883286722567,77.68266707972477,74.35213279724121,644.8552688652825,1.4631263331363076,1.0649908065795899,1.38014993201026
39,false,Continue,445.87074502394967,19,2.45042,0.6720273158424778,0.7325260353088379,0.04867512092728868,0.05035607107187573,0.04734955925941467,0.00027472112371752257,77.68266707972477,74.35213279724121,651.4504278892828,1.4631263331363076,1.0649908065795899,1.38014993201026
40,false,Continue,445.4008054390964,18,2.45042,0.6778540886773005,0.7472347450256348,0.05115031469708203,0.04977321640253067,0.04662530188560486,0.00028270283011870096,79.25440239906311,75.47713279724121,646.4462434921475,1.3822518719567196,0.967204761505127,1.329752161121902
41,false,Continue,445.21573252623693,18,2.45042,0.6778540886773003,0.7472347450256348,0.05132678528531733,0.04977321640253067,0.04662530188560486,0.00028270283011870096,79.37940239906311,75.47713279724121,651.7318778800895,1.3822518719567196,0.967204761505127,1.329752161121902
42,false,Continue,445.1591557695271,19,2.45042,0.6746588947898463,0.7325260353088379,0.04885816211838975,0.05016067633503361,0.04734955925941467,0.00026738906773371267,77.91950918498792,74.35213279724121,656.0190270647485,1.465757912083676,1.0649908065795899,1.3896462088489974
43,false,Continue,445.02349610799564,19,2.45042,0.6746588947898463,0.7325260353088379,0.04885816211838975,0.05016067633503363,0.04734955925941467,0.0002673890677337126,78.0379302376195,74.35213279724121,655.6079889938314,1.460494754188939,1.0649908065795899,1.3741930128309345
44,false,Continue,444.9945372504719,19,2.45042,0.6757115263687937,0.7325260353088379,0.04875140699447055,0.05016067633503363,0.04734955925941467,0.0002673890677337126,78.09714076393529,74.35213279724121,658.5483224966888,1.457863175241571,1.0649908065795899,1.3674997775507138
45,false,Continue,444.89262759274465,19,2.45042,0.6767641579477411,0.7325260353088379,0.04866453491148699,0.05009554475608626,0.04734955925941467,0.0002640502763424904,78.09714076393529,74.35213279724121,658.5483224966888,1.4552315962942024,1.0649908065795899,1.3610697001652297
46,false,Continue,444.80170030899626,19,2.45042,0.6772904737372148,0.7325260353088379,0.04862577723256834,0.05003041317713889,0.04611205925941467,0.00026450844967723024,78.15635129025108,74.35213279724121,661.6218796837567,1.4526000173468339,1.0649908065795899,1.3527921955677387
47,false,Continue,444.5923946122944,19,2.45042,0.6783431053161622,0.7325260353088379,0.0485687297109883,0.049965281598191524,0.04611205925941467,0.00026132190335179757,78.21556181656688,74.35213279724121,664.3929483069479,1.4526000173468339,1.0649908065795899,1.3527921955677387
48,false,Continue,444.38322949546694,19,2.45042,0.6788694211056359,0.7325260353088379,0.04855043986832694,0.049965281598191524,0.04611205925941467,0.00026132190335179757,78.33398286919845,74.35213279724121,670.4892188540492,1.4526000173468339,1.0649908065795899,1.3527921955677387
49,false,Continue,444.3403554557964,18,2.45042,0.6806318664550782,0.7472347450256348,0.0513673877985496,0.049429466402530674,0.04600655188560486,0.0002709180453151878,79.87940239906311,75.47713279724121,669.014358284747,1.3683629830678308,0.967204761505127,1.291850576191233
50,false,Continue,444.2799381784913,19,2.42017,0.6809746842635306,0.7325260353088379,0.04851587698890957,0.04983501844029679,0.04611205925941467,0.0002570420598118413,78.45240392183003,74.35213279724121,670.5370623620795,1.4552315962942024,1.0649908065795899,1.366401981489828
51,false,Continue,444.19227680283205,19,2.42017,0.6815010000530042,0.7325260353088379,0.04851688539186224,0.04983501844029679,0.04611205925941467,0.0002570420598118413,78.51161444814582,74.35213279724121,673.9880866544105,1.4526000173468336,1.0649908065795899,1.3607906175546363
52,false,Continue,444.1863687676462,18,2.42017,0.6817429775661893,0.7472347450256348,0.05138140658162029,0.049360716402530674,0.04600655188560486,0.00026763646634924684,79.94190239906311,75.47713279724121,672.479298874764,1.3628074275122755,0.967204761505127,1.28233971207055
53,false,Continue,444.1856885934184,19,2.42017,0.6830799474214252,0.7325260353088379,0.04856084627323487,0.04983501844029679,0.04611205925941467,0.0002570420598118413,78.51161444814582,74.35213279724121,673.9880866544105,1.4499684383994655,1.0649908065795899,1.3592196632875917
